time	V(n003)	I(L1)	I(L2)
0.000000000000000e+000	-4.026607e+002	-7.329286e+001	5.000000e+002
1.428571424964633e-007	-4.016685e+002	-7.329091e+001	4.993703e+002
2.857142849929266e-007	-4.006865e+002	-7.328580e+001	4.987407e+002
4.285714274893899e-007	-3.997146e+002	-7.327754e+001	4.981113e+002
5.714285699858532e-007	-3.987530e+002	-7.326612e+001	4.974820e+002
7.142857124823165e-007	-3.978015e+002	-7.325155e+001	4.968529e+002
8.571428549787799e-007	-3.968603e+002	-7.323383e+001	4.962239e+002
9.999999974752427e-007	-3.959292e+002	-7.321295e+001	4.955951e+002
1.999999994950485e-006	-3.895119e+002	-7.303693e+001	4.911968e+002
2.249999994319296e-006	-3.879582e+002	-7.297783e+001	4.900991e+002
2.749999993056917e-006	-3.849587e+002	-7.282814e+001	4.879090e+002
3.749999990532160e-006	-3.791029e+002	-7.248831e+001	4.835385e+002
3.999999989900971e-006	-3.776788e+002	-7.239233e+001	4.824491e+002
4.499999988638592e-006	-3.749162e+002	-7.217741e+001	4.802784e+002
5.749999985482646e-006	-3.681835e+002	-7.159552e+001	4.748726e+002
6.249999984220267e-006	-3.656098e+002	-7.133351e+001	4.727272e+002
7.499999981064320e-006	-3.593153e+002	-7.064662e+001	4.673885e+002
9.249999976645995e-006	-3.509549e+002	-6.959010e+001	4.600104e+002
1.099999997222767e-005	-3.430118e+002	-6.845940e+001	4.527477e+002
1.274999996780935e-005	-3.354169e+002	-6.727957e+001	4.456066e+002
1.407142853590163e-005	-3.299091e+002	-6.635856e+001	4.402976e+002
1.539285710399392e-005	-3.245215e+002	-6.543646e+001	4.350623e+002
1.671428567208620e-005	-3.192542e+002	-6.451327e+001	4.299007e+002
1.803571424017849e-005	-3.141071e+002	-6.358900e+001	4.248128e+002
1.935714280827077e-005	-3.090804e+002	-6.266364e+001	4.197985e+002
2.067857137636306e-005	-3.041739e+002	-6.173720e+001	4.148580e+002
2.199999994445534e-005	-2.993877e+002	-6.080967e+001	4.099912e+002
2.467857136626402e-005	-2.899627e+002	-5.896170e+001	4.003646e+002
2.735714278807271e-005	-2.808283e+002	-5.715999e+001	3.910135e+002
3.003571420988140e-005	-2.719844e+002	-5.540452e+001	3.819378e+002
3.271428563169009e-005	-2.634312e+002	-5.369531e+001	3.731376e+002
3.539285705349877e-005	-2.551685e+002	-5.203235e+001	3.646127e+002
3.807142847530746e-005	-2.471965e+002	-5.041564e+001	3.563634e+002
4.074999989711614e-005	-2.395150e+002	-4.884517e+001	3.483894e+002
4.846428559192516e-005	-2.189660e+002	-4.466049e+001	3.270908e+002
5.617857128673418e-005	-1.998805e+002	-4.077310e+001	3.073078e+002
6.389285698154320e-005	-1.822586e+002	-3.718302e+001	2.890402e+002
7.160714267635221e-005	-1.661003e+002	-3.389024e+001	2.722880e+002
7.932142837116122e-005	-1.514056e+002	-3.089477e+001	2.570514e+002
8.703571406597025e-005	-1.381744e+002	-2.819659e+001	2.433302e+002
9.474999976077925e-005	-1.264069e+002	-2.579572e+001	2.311245e+002
1.023571425987159e-004	-1.156938e+002	-2.361140e+001	2.200154e+002
1.099642854366526e-004	-1.057349e+002	-2.158086e+001	2.096883e+002
1.175714282745893e-004	-9.653025e+001	-1.970411e+001	2.001434e+002
1.251785711125259e-004	-8.807983e+001	-1.798113e+001	1.913806e+002
1.327857139504626e-004	-8.038364e+001	-1.641194e+001	1.833998e+002
1.403928567883993e-004	-7.344167e+001	-1.499653e+001	1.762012e+002
1.479999996263359e-004	-6.725394e+001	-1.373490e+001	1.697848e+002
1.554999996074002e-004	-6.161308e+001	-1.258477e+001	1.639354e+002
1.629999995884646e-004	-5.636629e+001	-1.151499e+001	1.584946e+002
1.704999995695289e-004	-5.151357e+001	-1.052556e+001	1.534625e+002
1.779999995505932e-004	-4.705491e+001	-9.616473e+000	1.488390e+002
1.854999995316575e-004	-4.299033e+001	-8.787736e+000	1.446241e+002
1.929999995127218e-004	-3.931982e+001	-8.039347e+000	1.408179e+002
2.004999994937862e-004	-3.604337e+001	-7.371305e+000	1.374204e+002
2.079285709036022e-004	-3.303845e+001	-6.758625e+000	1.343044e+002
2.153571423134184e-004	-3.024173e+001	-6.188395e+000	1.314042e+002
2.227857137232344e-004	-2.765321e+001	-5.660616e+000	1.287200e+002
2.302142851330505e-004	-2.527289e+001	-5.175288e+000	1.262517e+002
2.376428565428666e-004	-2.310077e+001	-4.732410e+000	1.239993e+002
2.450714279526827e-004	-2.113685e+001	-4.331983e+000	1.219628e+002
2.524999993624988e-004	-1.938114e+001	-3.974006e+000	1.201422e+002
2.600714279148113e-004	-1.772468e+001	-3.636267e+000	1.184245e+002
2.676428564671239e-004	-1.618537e+001	-3.322415e+000	1.168282e+002
2.752142850194365e-004	-1.476323e+001	-3.032450e+000	1.153535e+002
2.827857135717490e-004	-1.345824e+001	-2.766373e+000	1.140003e+002
2.903571421240615e-004	-1.227040e+001	-2.524183e+000	1.127685e+002
2.979285706763741e-004	-1.119973e+001	-2.305880e+000	1.116583e+002
3.054999992286867e-004	-1.024621e+001	-2.111465e+000	1.106695e+002
3.154999992034391e-004	-9.067194e+000	-1.871074e+000	1.094469e+002
3.294999991680925e-004	-7.644577e+000	-1.581013e+000	1.079717e+002
