time	V(n003)	I(L1)	I(L2)
0.000000000000000e+000	-4.399217e+002	-8.006758e+001	5.000000e+002
1.428571424964633e-007	-4.390297e+002	-8.006586e+001	4.993122e+002
2.857142849929266e-007	-4.381409e+002	-8.006124e+001	4.986246e+002
4.285714274893899e-007	-4.372551e+002	-8.005370e+001	4.979371e+002
5.714285699858532e-007	-4.363723e+002	-8.004326e+001	4.972497e+002
7.142857124823165e-007	-4.354927e+002	-8.002991e+001	4.965625e+002
8.571428549787799e-007	-4.346161e+002	-8.001365e+001	4.958753e+002
9.999999974752427e-007	-4.337426e+002	-7.999448e+001	4.951884e+002
1.999999994950485e-006	-4.276612e+002	-7.983142e+001	4.903829e+002
2.249999994319296e-006	-4.261576e+002	-7.977610e+001	4.891832e+002
2.749999993056917e-006	-4.231880e+002	-7.963435e+001	4.867890e+002
3.749999990532160e-006	-4.173019e+002	-7.930957e+001	4.820098e+002
3.999999989900971e-006	-4.158458e+002	-7.921687e+001	4.808180e+002
4.499999988638592e-006	-4.129684e+002	-7.900696e+001	4.784425e+002
5.749999985482646e-006	-4.058511e+002	-7.843262e+001	4.725242e+002
7.249999981695510e-006	-3.975226e+002	-7.761738e+001	4.654890e+002
7.999999979801942e-006	-3.934406e+002	-7.716764e+001	4.620024e+002
9.249999976645995e-006	-3.867294e+002	-7.637610e+001	4.562300e+002
1.099999997222767e-005	-3.775678e+002	-7.517604e+001	4.482584e+002
1.274999996780935e-005	-3.686532e+002	-7.389844e+001	4.404173e+002
1.407142853590163e-005	-3.620880e+002	-7.288254e+001	4.345853e+002
1.539285710399392e-005	-3.556426e+002	-7.185569e+001	4.288369e+002
1.671428567208620e-005	-3.493168e+002	-7.081790e+001	4.231723e+002
1.803571424017849e-005	-3.431107e+002	-6.976916e+001	4.175914e+002
1.935714280827077e-005	-3.370242e+002	-6.870949e+001	4.120941e+002
2.067857137636306e-005	-3.310575e+002	-6.763886e+001	4.066806e+002
2.199999994445534e-005	-3.252104e+002	-6.655730e+001	4.013508e+002
2.417857136752640e-005	-3.158123e+002	-6.478556e+001	3.927586e+002
2.635714279059747e-005	-3.066727e+002	-6.304279e+001	3.843875e+002
2.853571421366854e-005	-2.977915e+002	-6.132900e+001	3.762376e+002
3.071428563673960e-005	-2.891687e+002	-5.964419e+001	3.683087e+002
3.289285705981066e-005	-2.808043e+002	-5.798835e+001	3.606009e+002
3.507142848288173e-005	-2.726983e+002	-5.636148e+001	3.531143e+002
3.724999990595279e-005	-2.648506e+002	-5.476359e+001	3.458487e+002
4.382142846079010e-005	-2.428284e+002	-5.025353e+001	3.254398e+002
5.039285701562741e-005	-2.223348e+002	-4.604926e+001	3.064421e+002
5.696428557046473e-005	-2.033699e+002	-4.215078e+001	2.888554e+002
6.353571412530203e-005	-1.859336e+002	-3.855810e+001	2.726798e+002
7.010714268013935e-005	-1.700259e+002	-3.527122e+001	2.579152e+002
7.667857123497667e-005	-1.556469e+002	-3.229013e+001	2.445618e+002
8.324999978981396e-005	-1.427966e+002	-2.961483e+001	2.326194e+002
8.999999977277184e-005	-1.306197e+002	-2.709162e+001	2.213120e+002
9.674999975572973e-005	-1.193048e+002	-2.474700e+001	2.108051e+002
1.034999997386876e-004	-1.088519e+002	-2.258096e+001	2.010986e+002
1.102499997216455e-004	-9.926100e+001	-2.059350e+001	1.921925e+002
1.169999997046034e-004	-9.053213e+001	-1.878463e+001	1.840868e+002
1.237499996875613e-004	-8.266526e+001	-1.715434e+001	1.767816e+002
1.304999996705192e-004	-7.566039e+001	-1.570264e+001	1.702767e+002
1.372499996534771e-004	-6.919761e+001	-1.436333e+001	1.642753e+002
1.439999996364350e-004	-6.319233e+001	-1.311884e+001	1.586988e+002
1.507499996193928e-004	-5.764455e+001	-1.196915e+001	1.535471e+002
1.574999996023507e-004	-5.255426e+001	-1.091427e+001	1.488202e+002
1.642499995853086e-004	-4.792146e+001	-9.954199e+000	1.445181e+002
