time	V(n003)	I(L1)	I(L2)
0.000000000000000e+000	-2.037216e+002	-3.712211e+001	5.000000e+002
1.428571424964633e-007	-2.035296e+002	-3.712174e+001	4.996804e+002
2.857142849929266e-007	-2.033383e+002	-3.712075e+001	4.993608e+002
4.285714274893899e-007	-2.031475e+002	-3.711912e+001	4.990412e+002
5.714285699858532e-007	-2.029575e+002	-3.711687e+001	4.987216e+002
7.142857124823165e-007	-2.027681e+002	-3.711400e+001	4.984021e+002
8.571428549787799e-007	-2.025793e+002	-3.711049e+001	4.980827e+002
9.999999974752427e-007	-2.023911e+002	-3.710636e+001	4.977632e+002
1.999999994950485e-006	-2.010808e+002	-3.707121e+001	4.955278e+002
2.249999994319296e-006	-2.007566e+002	-3.705929e+001	4.949693e+002
2.749999993056917e-006	-2.001155e+002	-3.702871e+001	4.938534e+002
3.749999990532160e-006	-1.988434e+002	-3.695863e+001	4.916237e+002
3.999999989900971e-006	-1.985283e+002	-3.693862e+001	4.910669e+002
4.499999988638592e-006	-1.979044e+002	-3.689326e+001	4.899551e+002
5.749999985482646e-006	-1.963581e+002	-3.676907e+001	4.871800e+002
7.249999981695510e-006	-1.945388e+002	-3.659237e+001	4.838644e+002
7.999999979801942e-006	-1.936426e+002	-3.649466e+001	4.822133e+002
9.249999976645995e-006	-1.921633e+002	-3.632237e+001	4.794700e+002
1.099999997222767e-005	-1.901278e+002	-3.606013e+001	4.756534e+002
1.274999996780935e-005	-1.881278e+002	-3.577952e+001	4.718654e+002
1.421428567839809e-005	-1.864822e+002	-3.553041e+001	4.687183e+002
1.567857138898684e-005	-1.848547e+002	-3.527703e+001	4.655944e+002
1.714285709957559e-005	-1.832454e+002	-3.501938e+001	4.624936e+002
1.860714281016434e-005	-1.816543e+002	-3.475746e+001	4.594160e+002
2.007142852075309e-005	-1.800814e+002	-3.449127e+001	4.563615e+002
2.153571423134184e-005	-1.785267e+002	-3.422082e+001	4.533301e+002
2.299999994193058e-005	-1.769901e+002	-3.394609e+001	4.503218e+002
2.560714279249104e-005	-1.742925e+002	-3.345635e+001	4.450281e+002
