time	V(n003)	I(L1)	I(L2)
0.000000000000000e+000	-5.573660e+002	-1.014211e+002	5.000000e+002
1.428571424964633e-007	-5.554669e+002	-1.014174e+002	4.991291e+002
2.857142849929266e-007	-5.535874e+002	-1.014076e+002	4.982586e+002
4.285714274893899e-007	-5.517276e+002	-1.013918e+002	4.973882e+002
5.714285699858532e-007	-5.498874e+002	-1.013699e+002	4.965182e+002
7.142857124823165e-007	-5.480669e+002	-1.013421e+002	4.956484e+002
8.571428549787799e-007	-5.462661e+002	-1.013081e+002	4.947789e+002
9.999999974752427e-007	-5.444849e+002	-1.012682e+002	4.939097e+002
1.999999994950485e-006	-5.322124e+002	-1.009315e+002	4.878322e+002
2.249999994319296e-006	-5.292431e+002	-1.008185e+002	4.863163e+002
2.749999993056917e-006	-5.235169e+002	-1.005323e+002	4.832949e+002
3.749999990532160e-006	-5.123485e+002	-9.988287e+001	4.772704e+002
3.999999989900971e-006	-5.096361e+002	-9.969952e+001	4.757703e+002
4.499999988638592e-006	-5.043831e+002	-9.928928e+001	4.727859e+002
5.499999986113835e-006	-4.941081e+002	-9.841335e+001	4.668425e+002
6.249999984220267e-006	-4.867375e+002	-9.768028e+001	4.624283e+002
7.499999981064320e-006	-4.748617e+002	-9.637324e+001	4.551348e+002
9.249999976645995e-006	-4.591880e+002	-9.436849e+001	4.451061e+002
1.099999997222767e-005	-4.444131e+002	-9.223091e+001	4.352958e+002
1.274999996780935e-005	-4.304049e+002	-9.001006e+001	4.257151e+002
1.399999996465340e-005	-4.208652e+002	-8.837809e+001	4.190184e+002
1.524999996149745e-005	-4.115786e+002	-8.675027e+001	4.124430e+002
1.649999995834151e-005	-4.025450e+002	-8.512660e+001	4.059890e+002
1.774999995518556e-005	-3.937646e+002	-8.350708e+001	3.996562e+002
1.899999995202961e-005	-3.852374e+002	-8.189171e+001	3.934448e+002
2.024999994887367e-005	-3.769632e+002	-8.028049e+001	3.873548e+002
2.149999994571772e-005	-3.689422e+002	-7.867342e+001	3.813860e+002
2.382142851128525e-005	-3.545933e+002	-7.575656e+001	3.706481e+002
2.614285707685278e-005	-3.407802e+002	-7.292734e+001	3.602805e+002
2.846428564242030e-005	-3.275029e+002	-7.018577e+001	3.502832e+002
3.078571420798783e-005	-3.147614e+002	-6.753185e+001	3.406562e+002
3.310714277355536e-005	-3.025556e+002	-6.496556e+001	3.313996e+002
3.542857133912289e-005	-2.908856e+002	-6.248692e+001	3.225133e+002
3.774999990469041e-005	-2.797514e+002	-6.009592e+001	3.139974e+002
4.299999989143544e-005	-2.563668e+002	-5.508948e+001	2.961337e+002
4.824999987818046e-005	-2.346143e+002	-5.042982e+001	2.795130e+002
5.349999986492549e-005	-2.144938e+002	-4.611694e+001	2.641352e+002
5.874999985167052e-005	-1.960053e+002	-4.215083e+001	2.500004e+002
6.399999983841553e-005	-1.791490e+002	-3.853149e+001	2.371085e+002
6.924999982516057e-005	-1.639246e+002	-3.525894e+001	2.254596e+002
7.449999981190558e-005	-1.503324e+002	-3.233316e+001	2.150536e+002
7.989285694114707e-005	-1.374516e+002	-2.956501e+001	2.051988e+002
8.528571407038856e-005	-1.254863e+002	-2.699361e+001	1.960444e+002
9.067857119963005e-005	-1.144366e+002	-2.461894e+001	1.875904e+002
9.607142832887154e-005	-1.043023e+002	-2.244101e+001	1.798369e+002
1.014642854581130e-004	-9.508362e+001	-2.045982e+001	1.727838e+002
1.068571425873545e-004	-8.678040e+001	-1.867537e+001	1.664311e+002
1.122499997165960e-004	-7.939269e+001	-1.708766e+001	1.607788e+002
1.176071425602134e-004	-7.262140e+001	-1.563244e+001	1.555982e+002
1.229642854038307e-004	-6.632886e+001	-1.428011e+001	1.507839e+002
1.283214282474481e-004	-6.051508e+001	-1.303067e+001	1.463358e+002
1.336785710910655e-004	-5.518006e+001	-1.188412e+001	1.422541e+002
1.390357139346829e-004	-5.032380e+001	-1.084046e+001	1.385386e+002
1.443928567783002e-004	-4.594630e+001	-9.899694e+000	1.351894e+002
1.497499996219176e-004	-4.204756e+001	-9.061814e+000	1.322065e+002
1.546428567524215e-004	-3.873514e+001	-8.349941e+000	1.296723e+002
1.595357138829253e-004	-3.564265e+001	-7.685334e+000	1.273062e+002
1.644285710134292e-004	-3.277009e+001	-7.067991e+000	1.251085e+002
1.693214281439331e-004	-3.011746e+001	-6.497914e+000	1.230790e+002
1.742142852744370e-004	-2.768476e+001	-5.975103e+000	1.212178e+002
1.791071424049408e-004	-2.547200e+001	-5.499557e+000	1.195248e+002
1.839999995354447e-004	-2.347916e+001	-5.071276e+000	1.180001e+002
1.887857138090762e-004	-2.165948e+001	-4.680209e+000	1.166079e+002
